 33, 7,MATH,1021,1,COLLEGE ALGEBRA     ,3.0,1230-0120 ,M    ,0277,LOCKETT        ,WADDELL L
522,83,MATH,1029,1,INTRO CONTEMP MATH  ,3.0,1030-1120 ,M W F,0101,GYM AUDITORIUM ,MUFFULETTO M
 30,10,MATH,1029,1,INTRO CONTEMP MATH  ,3.0,1030-1120 ,M W F,0101,GYM AUDITORIUM ,MUFFULETTO M
205,45,MATH,1100,1,NATURE OF MATHEMATCS,3.0,1200-0120 , T TH,0143,COATES         ,DOUGHERTY E
 24,14,MATH,1202,1,GEOM/REASONG/MEASURE,3.0, 900-1020 , T TH,0109,COATES         ,DOUGHERTY E
 19,11,MATH,1202,2,GEOM/REASONG/MEASURE,3.0,1030-1150 , T TH,0109,COATES         ,DOUGHERTY E
 23,12,MATH,1431,1,CAL-BUS & ECO APLCAT,3.0,1200-0120 , T TH,0101,GYM AUDITORIUM ,LEDET J
 14,15,MATH,1431,2,CAL-BUS & ECO APLCAT,3.0,1200-0120 , T TH,0101,GYM AUDITORIUM ,LEDET J
0,35,MATH,1431,3,CAL-BUS & ECO APLCAT,3.0,1200-0120 , T TH,0101,GYM AUDITORIUM ,LEDET J
 34, 6,MATH,1540,1,INTEGRAL CALCULUS   ,3.0,1030-1120 ,M W F,0243,LOCKETT        ,ROY A
 13, 7,MATH,1540,2,INTEGRAL CALCULUS   ,3.0, 130-0220 ,M W F,0235,LOCKETT        ,VEMPATI N
 29, 1,MATH,1550,8,CALCULUS I          ,5.0, 130-0220 ,MTWTH,0005,LOCKETT        ,HARHAD A
0,50,MATH,1552,2,AN GEOM&CALCULUS-II ,4.0, 930-1020 ,MTWTH,1022,CAMELLIA HALL  ,HOMAN T
151,39,MATH,1552,4,AN GEOM&CALCULUS-II ,4.0,1030-1120 ,MTWTH,0005,LOCKETT        ,SMOLINSKY L
 74,16,MATH,1552,1,AN GEOM&CALCULUS-II ,4.0, 730-0820 , TWTF,0005,LOCKETT        ,RIOS ARRIETA
0,15,MATH,1552,7,AN GEOM&CALCULUS-II ,4.0, 130-0220 , TWTF,0116,LOCKETT        ,TU F
 44,36,MATH,1552,8,AN GEOM&CALCULUS-II ,4.0, 500-0650N, T TH,0155,COATES         ,ESTRADA R
0,30,MATH,1553,1,HON- AN GEOM CAL II ,4.0, 730-0820 ,MTWTH,0276,LOCKETT        ,HOMAN T
0,30,MATH,1553,2,HON- AN GEOM CAL II ,4.0, 830-0920 , TWTF,0235,LOCKETT        ,RIOS ARRIETA
